timestamp,asset_id,asset_type,rated_mva,asset_age_years,criticality,voltage_pu,current_a,frequency_hz,active_power_mw,reactive_power_mvar,power_factor,temperature_c,load_percent,thd_percent,previous_faults,operating_state,fault_type,failure,failure_horizon_hours
2026-01-01T00:00:00,T01,transformer,40.0,6,0.9,0.9991,474.45,50.018,24.6,8.647,0.9434,62.59,66.85,2.666,0,healthy,normal,0,0
2026-01-01T00:15:00,T01,transformer,40.0,6,0.9,0.9981,505.22,50.0,27.056,9.401,0.9446,64.4,73.52,2.161,0,healthy,normal,0,0
2026-01-01T00:30:00,T01,transformer,40.0,6,0.9,1.0043,473.63,49.964,25.147,6.873,0.9646,62.99,68.33,2.937,0,healthy,normal,0,0
2026-01-01T00:45:00,T01,transformer,40.0,6,0.9,0.9885,572.8,49.972,29.711,9.818,0.9495,67.65,80.74,2.981,0,healthy,normal,0,0
2026-01-01T01:00:00,T01,transformer,40.0,6,0.9,1.0068,519.36,49.975,26.98,6.93,0.9686,61.66,73.31,2.557,2,healthy,normal,0,0
2026-01-01T01:15:00,T01,transformer,40.0,6,0.9,0.9786,551.72,50.035,25.171,7.69,0.9304,83.58,80.07,4.22,2,anomaly,overload,0,115
2026-01-01T01:30:00,T01,transformer,40.0,6,0.9,0.9846,480.12,50.005,22.868,8.078,0.9307,70.95,67.65,3.349,2,anomaly,overload,0,80
2026-01-01T01:45:00,T01,transformer,40.0,6,0.9,1.0162,497.09,50.022,26.035,9.312,0.9302,63.56,70.75,5.38,2,early_degradation,harmonic_distortion,0,0
2026-01-01T02:00:00,T01,transformer,40.0,6,0.9,0.9871,532.74,49.99,28.135,9.496,0.9475,67.2,76.45,1.386,4,healthy,normal,0,0
2026-01-01T02:15:00,T01,transformer,40.0,6,0.9,1.003,374.16,49.989,20.085,7.071,0.9432,60.86,54.58,2.095,0,healthy,normal,0,0
2026-01-01T02:30:00,T01,transformer,40.0,6,0.9,0.9659,438.82,49.95,22.829,6.099,0.9661,62.37,62.03,3.726,0,early_degradation,voltage_instability,0,0
2026-01-01T02:45:00,T01,transformer,40.0,6,0.9,0.9471,413.46,49.857,22.055,7.17,0.951,62.56,59.93,5.551,3,high_risk,voltage_instability,0,44
2026-01-01T03:00:00,T01,transformer,40.0,6,0.9,1.0008,458.44,49.969,23.711,7.814,0.9498,61.77,64.43,2.943,1,healthy,normal,0,0
2026-01-01T03:15:00,T01,transformer,40.0,6,0.9,1.0034,558.63,49.981,30.176,11.518,0.9343,63.89,82,2.7,0,healthy,normal,0,0
2026-01-01T03:30:00,T01,transformer,40.0,6,0.9,1.0004,560.9,49.987,29.539,9.821,0.9489,66.77,80.27,2.404,4,healthy,normal,0,0
2026-01-01T03:45:00,T01,transformer,40.0,6,0.9,0.9993,486.88,49.983,25.895,10.339,0.9287,65.98,70.37,2.184,0,healthy,normal,0,0
2026-01-01T04:00:00,T01,transformer,40.0,6,0.9,0.9944,496.65,50.028,26.546,7.513,0.9622,64.87,72.14,3.137,1,healthy,normal,0,0
2026-01-01T04:15:00,T01,transformer,40.0,6,0.9,1.0053,573.56,50.008,29.858,8.424,0.9624,63.29,81.14,3.289,3,healthy,normal,0,0
2026-01-01T04:30:00,T01,transformer,40.0,6,0.9,0.9972,384.34,49.985,19.941,6.275,0.9477,65.89,56.97,2.389,1,early_degradation,overload,0,0
2026-01-01T04:45:00,T01,transformer,40.0,6,0.9,0.9891,520.92,50.01,24.303,6.587,0.9452,74.19,75.02,3.973,2,anomaly,overload,0,212
2026-01-01T05:00:00,T01,transformer,40.0,6,0.9,0.9987,529.09,49.999,28.518,10.353,0.94,66.53,77.49,2.544,2,healthy,normal,0,0
2026-01-01T05:15:00,T01,transformer,40.0,6,0.9,1.0003,551.9,50.001,29.214,11.364,0.932,61.95,79.39,2.59,0,healthy,normal,0,0
2026-01-01T05:30:00,T01,transformer,40.0,6,0.9,0.9951,455.28,49.975,24.395,6.895,0.9623,59.36,66.29,3.261,1,healthy,normal,0,0
2026-01-01T05:45:00,T01,transformer,40.0,6,0.9,0.9822,469.77,50.008,24.657,6.375,0.9682,63.55,67.0,1.525,0,healthy,normal,0,0
2026-01-01T06:00:00,T01,transformer,40.0,6,0.9,0.9843,576.25,50.034,30.176,10.164,0.9477,67.31,82,2.7,1,healthy,normal,0,0
