actual_rate,predicted_rate,absolute_error
0.0002805836139169473,0.00047820993935076037,0.0001976263254338131
0.03571428571428571,0.13655449822545052,0.1008402125111648
0.04,0.24943872690200805,0.20943872690200804
0.08695652173913043,0.3517972749212514,0.26484075318212097
0.0,0.4481166243553162,0.4481166243553162
0.045454545454545456,0.5377538448030298,0.4922992993484843
0.17391304347826086,0.6443551390067391,0.47044209552847827
0.2857142857142857,0.7574025988578796,0.47168831314359394
0.34,0.8540229284763337,0.5140229284763336
0.753125,0.9777766812592745,0.22465168125927448
