timestamp,asset_id,asset_type,rated_mva,asset_age_years,criticality,voltage_pu,current_a,frequency_hz,active_power_mw,reactive_power_mvar,power_factor,temperature_c,load_percent,thd_percent,previous_faults,operating_state,fault_type,failure,failure_horizon_hours,voltage_deviation,frequency_deviation,apparent_power_mva,power_utilization,reactive_to_active_ratio,thermal_stress,overload_stress,temperature_excess,harmonic_stress,power_factor_deviation,electrical_stress,combined_stress,failure_probability,prediction
2026-05-31 15:45:00,T03,transformer,40.0,17,0.85,0.9376,466.2,49.87,24.864,7.001,0.9626,65.24,67.57,5.485,2,high_risk,voltage_instability,0,72,0.0624,0.1300000000000025,25.83084390801044,0.645771097700261,0.2815717503217503,44.08266799999999,0.0,0.0,0.4850000000000003,0.0373999999999999,1.6965000000000128,78.10422288501304,0.92187876,1
2026-05-31 19:45:00,T02,transformer,63.0,11,1.0,0.9268,859.11,49.879,44.204,16.941,0.9338,63.29,76.27,4.66,0,high_risk,voltage_instability,0,37,0.0732,0.1210000000000022,47.3391074799684,0.7514144044439428,0.383245860103158,48.271283,0.0,0.0,0.0,0.0662,1.999000000000012,87.30600322219713,0.9372176,1
2026-06-01 03:30:00,T03,transformer,40.0,17,0.85,0.9193,531.77,49.909,27.461,10.056,0.939,64.08,74.62,3.426,2,high_risk,voltage_instability,0,66,0.0807,0.091000000000001,29.244309822596257,0.7311077455649064,0.3661920541859364,47.816496,0.0,0.0,0.0,0.061,1.872000000000006,85.98588327824532,0.7375523,1
2026-06-01 05:00:00,T03,transformer,40.0,17,0.85,0.9291,403.98,49.857,20.967,5.725,0.9647,62.77,56.98,4.452,3,high_risk,voltage_instability,0,53,0.0708999999999999,0.1430000000000006,21.734551157086266,0.5433637789271566,0.2730481232412839,35.766346,0.0,0.0,0.0,0.0353,1.777000000000003,64.35253494635782,0.96878606,1
2026-06-01 10:15:00,T02,transformer,63.0,11,1.0,1.0037,763.89,49.991,40.856,11.445,0.9417,103.4,70.49,2.79,0,high_risk,overheating,0,39,0.0037,0.0090000000000003,42.42877279629945,0.6734725840682452,0.2801302134325436,72.88666,0.0,23.40000000000001,0.0,0.0583,0.6650000000000023,106.63428920341228,0.7116392,1
2026-06-01 16:30:00,T02,transformer,63.0,11,1.0,1.0038,712.61,49.968,38.394,11.337,0.9366,105.24,66.24,2.829,2,high_risk,overheating,0,41,0.0038,0.0319999999999964,40.03282159678481,0.6354416126473779,0.2952805125800906,69.71097599999999,0.0,25.239999999999995,0.0,0.0634,0.8319999999999828,101.55905663236888,0.99732107,1
2026-06-01 22:15:00,T01,transformer,40.0,6,0.9,0.9276,450.37,49.87,23.87,6.852,0.9612,62.31,64.86,4.848,0,high_risk,voltage_instability,0,27,0.0724,0.1300000000000025,24.833984859462248,0.6208496214865562,0.2870548806032677,40.414266000000005,0.0,0.0,0.0,0.0387999999999999,1.7620000000000124,72.90474707432782,0.923738,1
2026-06-02 02:00:00,T01,transformer,40.0,6,0.9,0.9958,499.08,50.01,25.786,6.585,0.9467,105.38,70.07,1.65,2,high_risk,overheating,0,16,0.0041999999999999,0.009999999999998,26.61353078792816,0.665338269698204,0.2553711316218102,73.839766,0.0,25.379999999999995,0.0,0.0533,0.62499999999999,107.1906794849102,0.99234325,1
2026-06-02 02:30:00,T03,transformer,40.0,17,0.85,0.9392,482.14,49.878,24.936,6.359,0.969,65.36,67.76,5.218,4,high_risk,voltage_instability,0,19,0.0607999999999999,0.1219999999999998,25.734043152990942,0.6433510788247736,0.2550128328521013,44.287936,0.0,0.0,0.2179999999999999,0.031,1.5497999999999994,77.88948994123868,0.7849671,1
2026-06-02 12:00:00,T02,transformer,63.0,11,1.0,0.9235,697.05,49.861,37.574,13.885,0.938,62.87,64.83,4.769,1,high_risk,voltage_instability,0,21,0.0765,0.1390000000000029,40.05744251696556,0.6358324209042152,0.3695374461063501,40.758621,0.0,0.0,0.0,0.062,2.080000000000015,74.08024204521075,0.9798568,1
2026-06-02 23:15:00,T03,transformer,40.0,17,0.85,0.9711,571.37,49.983,24.307,9.016,0.9048,89.3,80.8,4.973,1,high_risk,overload,0,64,0.0289,0.017000000000003,25.925248407681657,0.6481312101920413,0.3709219566380055,72.1544,0.0,9.299999999999995,0.0,0.0951999999999999,1.326000000000015,105.13896050960209,0.87469184,1
2026-06-03 03:45:00,T03,transformer,40.0,17,0.85,0.9847,440.45,49.998,23.495,7.788,0.9275,103.68,63.85,2.688,1,high_risk,overheating,0,52,0.0152999999999999,0.0020000000000024,24.752130595162917,0.6188032648790729,0.3314747818684826,66.19968,0.0,23.680000000000007,0.0,0.0725,0.8880000000000121,97.44584324395365,0.97774565,1
2026-06-03 05:00:00,T01,transformer,40.0,6,0.9,0.9643,664.35,49.987,28.174,7.827,0.9295,91.88,91.87,6.002,2,high_risk,overload,0,26,0.0356999999999999,0.0129999999999981,29.241002120310444,0.7310250530077611,0.2778093277489884,84.410156,0.0,11.879999999999995,1.0019999999999998,0.0705,1.2271999999999903,122.67740865038805,0.9846718,1
2026-06-03 11:15:00,T02,transformer,63.0,11,1.0,0.9826,651.62,50.024,34.58,13.469,0.8886,71.38,59.66,13.024,1,high_risk,harmonic_distortion,0,56,0.0173999999999999,0.0240000000000009,37.11051550436884,0.5890558016566483,0.3895026026604974,42.585308,0.0,0.0,8.024,0.1114,2.210400000000005,80.41009808283242,0.9369658,1
2026-06-03 19:30:00,T02,transformer,63.0,11,1.0,0.961,908.15,49.992,38.965,12.181,0.9192,91.29,83.08,4.951,3,high_risk,overload,0,70,0.039,0.0080000000000026,40.824600255238266,0.6480095278609249,0.3126138842551006,75.843732,0.0,11.290000000000006,0.0,0.0807999999999999,1.2380000000000135,109.02420839304624,0.96619284,1
2026-06-03 21:00:00,T02,transformer,63.0,11,1.0,0.9223,804.65,49.898,42.323,16.701,0.9302,64.29,73.02,4.672,4,high_risk,voltage_instability,0,55,0.0776999999999999,0.1019999999999967,45.49900801116438,0.7222064763676885,0.3946081326938072,46.94455800000001,0.0,0.0,0.0,0.0697999999999999,1.9849999999999832,84.60888181838445,0.86374885,1
2026-06-03 21:15:00,T03,transformer,40.0,17,0.85,0.9318,516.65,49.893,26.41,7.917,0.9579,66.12,71.77,4.695,3,high_risk,voltage_instability,0,63,0.0682,0.1069999999999993,27.571126001670663,0.6892781500417666,0.2997728133282847,47.454324,0.0,0.0,0.0,0.0421,1.6379999999999972,83.28223150208834,0.8408075,1
2026-06-03 23:45:00,T02,transformer,63.0,11,1.0,0.9948,695.28,49.984,35.851,11.312,0.9098,70.4,61.86,12.581,0,high_risk,harmonic_distortion,0,62,0.0051999999999999,0.0159999999999982,37.59329122330207,0.596718908306382,0.3155281582103706,43.54944,0.0,0.0,7.581,0.0901999999999999,1.7920999999999905,81.07038541531911,0.80183715,1
2026-06-04 06:15:00,T03,transformer,40.0,17,0.85,0.9798,582.73,50.017,25.27,7.788,0.9235,89.78,83.15,5.315,1,high_risk,overload,0,58,0.0201999999999999,0.017000000000003,26.442878890166252,0.6610719722541563,0.3081915314602295,74.65207000000001,0.0,9.78,0.3150000000000004,0.0765,1.0835000000000152,108.42466861270782,0.8261819,1
2026-06-04 16:45:00,T02,transformer,63.0,11,1.0,0.9304,699.62,49.902,36.351,13.073,0.941,56.1,62.72,5.648,0,high_risk,voltage_instability,0,71,0.0696,0.0979999999999989,38.630279962744254,0.6131790470276866,0.3596324722841187,35.18592,0.0,0.0,0.6479999999999997,0.059,1.840799999999995,67.88487235138433,0.8582164,1
2026-06-04 19:30:00,T03,transformer,40.0,17,0.85,0.9995,591.06,50.011,30.176,8.567,0.9404,106.54,82.0,2.99,3,high_risk,overheating,0,27,0.0004999999999999,0.0110000000000027,31.368526662882974,0.7842131665720744,0.2839011134676564,87.36280000000001,0.0,26.540000000000006,0.0,0.0595999999999999,0.6560000000000132,126.58345832860373,0.9588908,1
